index,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,Unassigned;__,k__Bacteria;__,k__Bacteria;p__,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Armatimonadetes,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Firmicutes,k__Bacteria;p__Fusobacteria,k__Bacteria;p__LCP-89,k__Bacteria;p__OP8,k__Bacteria;p__Spirochaetes,k__Bacteria;p__TM7,k__Bacteria;p__[Thermi],Group,Design,Experiment,Days,Niche,Genotype
I5_D6_Syncom_Col0_4,3875,1026,2751,98,0,0,0,0,0,0,42,0,0,0,759,0,0,0,0,0,0,I5-D6-Syncom-Col0,Syncom_endo,I5,D6,Endo,Col0
I5_D6_Syncom_Col0_5,4988,994,3676,318,0,5,0,0,3,0,92,0,0,0,1324,0,0,0,0,0,0,I5-D6-Syncom-Col0,Syncom_endo,I5,D6,Endo,Col0
I5_D6_Syncom_fec_1,10417,2353,7506,558,0,0,0,0,6,0,1594,0,0,0,4025,0,0,0,0,0,0,I5-D6-Syncom-fec,Syncom_endo,I5,D6,Endo,fec
I5_D6_Syncom_fec_2,17239,1376,14581,1282,0,12,0,0,15,0,1891,0,0,0,2338,0,0,0,0,0,0,I5-D6-Syncom-fec,Syncom_endo,I5,D6,Endo,fec
I5_D6_Syncom_fec_3,19580,4967,14177,414,0,0,0,0,5,0,343,0,0,0,6381,0,0,0,0,0,0,I5-D6-Syncom-fec,Syncom_endo,I5,D6,Endo,fec
I5_D6_Syncom_fec_4,15734,3031,12409,291,0,0,0,0,0,0,390,0,0,0,2610,0,0,0,0,0,0,I5-D6-Syncom-fec,Syncom_endo,I5,D6,Endo,fec
I5_D6_Syncom_fec_5,18976,1926,16125,925,0,4,0,4,137,0,345,0,0,0,1690,0,0,0,0,0,0,I5-D6-Syncom-fec,Syncom_endo,I5,D6,Endo,fec
I5_D6_Syncom_mfec_1,62643,3996,46789,11829,0,0,0,0,0,0,58,0,0,0,181,0,0,0,0,0,0,I5-D6-Syncom-mfec,Syncom_endo,I5,D6,Endo,mfec
I5_D6_Syncom_mfec_2,28570,500,23995,4075,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,I5-D6-Syncom-mfec,Syncom_endo,I5,D6,Endo,mfec
I5_D6_Syncom_mfec_3,39062,1472,33664,3926,0,0,0,0,0,0,13,0,0,0,43,0,0,0,0,0,0,I5-D6-Syncom-mfec,Syncom_endo,I5,D6,Endo,mfec
I5_D6_Syncom_mfec_4,43785,6646,35261,1878,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,I5-D6-Syncom-mfec,Syncom_endo,I5,D6,Endo,mfec
I5_D6_Syncom_mfec_5,342,14,309,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I5-D6-Syncom-mfec,Syncom_endo,I5,D6,Endo,mfec
I5_D6_Syncom_min7_1,21665,344,20847,474,0,0,0,0,0,0,209,0,0,0,375,0,0,0,0,0,0,I5-D6-Syncom-min7,Syncom_endo,I5,D6,Endo,min7
I5_D6_Syncom_min7_2,8769,924,7603,242,0,0,0,0,12,0,224,0,0,0,1353,0,0,0,0,0,0,I5-D6-Syncom-min7,Syncom_endo,I5,D6,Endo,min7
I5_D6_Syncom_min7_3,2771,548,1901,322,0,0,0,0,11,0,194,0,0,0,1793,0,0,0,0,0,0,I5-D6-Syncom-min7,Syncom_endo,I5,D6,Endo,min7
I5_D6_Syncom_min7_4,5626,1088,4158,380,0,8,0,0,0,0,231,0,0,0,2279,0,0,0,0,0,0,I5-D6-Syncom-min7,Syncom_endo,I5,D6,Endo,min7
I5_D6_Syncom_min7_5,4544,551,3851,142,0,0,0,0,0,0,226,17,0,0,1531,0,0,0,0,0,0,I5-D6-Syncom-min7,Syncom_endo,I5,D6,Endo,min7
