sample_id,shannon,observed_otus,pielou_e,faith_pd
I3_NS_D0_Col0_2,3.126841534,34,0.614617076,5.572930201
I3_NS_D0_Col0_4,2.811468289,30,0.572963312,5.479371969
I3_NS_D0_mfec_1,0.935544419,17,0.228881449,4.481205219
I3_NS_D0_mfec_4,3.196038693,24,0.697069756,5.272495355
I3_NS_D5_Col0_1,4.060452469,69,0.664719033,6.866959434
I3_NS_D5_Col0_2,3.718728309,63,0.622143911,6.500303639
I3_NS_D5_Col0_3,4.362374885,73,0.704765514,7.034300072
I3_NS_D5_Col0_4,4.359212989,78,0.69354559,7.839239109
I3_NS_D5_Col0_5,4.629406912,76,0.740950804,7.934665945
I3_NS_D5_mfec_1,3.174198157,62,0.533102705,6.952239594
I3_NS_D5_mfec_2,4.045763927,73,0.653615282,8.60970897
I3_NS_D5_mfec_3,3.400700447,66,0.562620567,7.296671218
I3_NS_D5_mfec_4,4.089205698,80,0.646828885,8.253579936
I3_NS_D5_mfec_5,3.956805915,88,0.612562552,8.867608626
I4_D6_Syncom_Col0_1,3.635289604,36,0.703160994,4.529219127
I4_D6_Syncom_Col0_2,3.533341201,45,0.643378681,5.906117434
I4_D6_Syncom_Col0_3,4.354991707,47,0.784034935,5.970158228
I4_D6_Syncom_Col0_4,3.862528511,40,0.725776155,6.260319342
I4_D6_Syncom_Col0_5,2.569623485,36,0.497033029,5.047199442
I4_D6_Syncom_fec_1,2.759115495,32,0.551823099,5.009414396
I4_D6_Syncom_fec_2,3.566545282,42,0.66141234,5.571263705
I4_D6_Syncom_fec_3,3.549385315,43,0.654112078,5.687520466
I4_D6_Syncom_fec_4,2.861757611,33,0.567314437,4.936313743
I4_D6_Syncom_fec_5,3.411060824,38,0.649982458,5.15819808
I4_D6_Syncom_mfec_1,0.451759047,9,0.142514112,2.16427087
I4_D6_Syncom_mfec_2,1.499958575,17,0.366965679,2.841485968
I4_D6_Syncom_mfec_3,1.209051724,12,0.337256449,2.235096019
I4_D6_Syncom_mfec_4,0.428492779,6,0.165763634,2.143520232
I4_D6_Syncom_mfec_5,1.663485954,19,0.391599421,3.802524465
I4_D6_Syncom_min7_1,3.549303599,39,0.671529517,5.368953389
I4_D6_Syncom_min7_2,3.836837635,45,0.698641709,6.032376576
I4_D6_Syncom_min7_3,2.122857426,32,0.424571485,5.173910535
I4_D6_Syncom_min7_4,3.911535347,40,0.734984629,5.370838256
I4_D6_Syncom_min7_5,3.402836866,30,0.693481299,4.928719316
I4_NS_D0_Col0_1,3.7430349,40,0.703323088,6.933208872
I4_NS_D0_mfec_1,3.746041202,28,0.779231254,4.577041708
I4_NS_D5_Col0_1,4.050707707,57,0.694459813,5.65923327
I4_NS_D5_Col0_2,4.025479828,76,0.644290418,8.713060757
I4_NS_D5_Col0_3,4.672771128,78,0.743432316,7.904578944
I4_NS_D5_Col0_4,4.206848527,73,0.67963938,7.358692665
I4_NS_D5_Col0_5,4.491810615,79,0.712558192,7.422739084
I4_NS_D5_mfec_1,4.832266945,94,0.737234181,9.108309391
I4_NS_D5_mfec_2,4.305393711,76,0.689091495,8.124312281
I4_NS_D5_mfec_3,4.038151328,67,0.665692706,7.854518826
