index,Betaproteobacteria,Gammaproteobacteria,Alphaproteobacteria,Firmicutes,Actinobacteria,Bacteroidetes,Others,input-com,day,compartment,genotype,replicate
Syn-endo-cad-12,26643,1172,1546,1530,93,334,2,SynCom,D2,endosphere,cad1,12
Syn-endo-cad-13,18148,1554,4416,3740,324,3492,25,SynCom,D2,endosphere,cad1,13
Syn-endo-cad-14,49623,8096,532,235,0,5,0,SynCom,D2,endosphere,cad1,14
Syn-endo-cad-15,41304,2174,281,1068,0,13,34,SynCom,D2,endosphere,cad1,15
Syn-endo-cad-16,67060,3234,6,128,0,12,11,SynCom,D2,endosphere,cad1,16
Syn-endo-cad-19,66715,2705,366,10,3,9,0,SynCom,D2,endosphere,cad1,17
Syn-endo-cad-2,73032,468,85,141,0,12,0,SynCom,D2,endosphere,cad1,2
Syn-endo-cad-21,52942,2078,459,28,0,10,0,SynCom,D2,endosphere,cad1,18
Syn-endo-cad-23,7478,20221,266,1127,0,102,0,SynCom,D2,endosphere,cad1,19
Syn-endo-cad-24,69728,6321,339,159,0,25,0,SynCom,D2,endosphere,cad1,20
Syn-endo-cad-3,44779,6530,550,144,0,13,2,SynCom,D2,endosphere,cad1,3
Syn-endo-cad-4,25866,1863,2838,4148,514,366,0,SynCom,D2,endosphere,cad1,4
Syn-endo-cad-5,2033,1126,5671,3895,20,123,10,SynCom,D2,endosphere,cad1,5
Syn-endo-cad-6,46890,893,924,1891,53,137,3,SynCom,D2,endosphere,cad1,6
Syn-endo-cad-7,10302,35839,295,3692,185,143,6,SynCom,D2,endosphere,cad1,7
Syn-endo-cad-8,106425,760,102,313,3,21,0,SynCom,D2,endosphere,cad1,8
Syn-endo-cad-9,35781,2779,299,4220,69,403,5,SynCom,D2,endosphere,cad1,9
Syn-endo-Col-1,4768,1089,1141,14070,84,613,79,SynCom,D2,endosphere,Col-0,1
Syn-endo-Col-10,6455,323,1378,1035,94,668,34,SynCom,D2,endosphere,Col-0,10
Syn-endo-Col-11,2405,272,770,947,194,216,19,SynCom,D2,endosphere,Col-0,11
Syn-endo-Col-12,5275,239,1006,3883,283,1101,15,SynCom,D2,endosphere,Col-0,12
Syn-endo-Col-13,3169,45,725,5912,116,679,15,SynCom,D2,endosphere,Col-0,13
Syn-endo-Col-14,1235,301,212,9006,44,203,12,SynCom,D2,endosphere,Col-0,14
Syn-endo-Col-15,407,67,366,2550,11,155,6,SynCom,D2,endosphere,Col-0,15
Syn-endo-Col-16,3659,409,981,6466,33,335,2,SynCom,D2,endosphere,Col-0,16
Syn-endo-Col-17,615,461,68,9046,24,77,0,SynCom,D2,endosphere,Col-0,17
Syn-endo-Col-18,2240,372,916,6385,430,360,0,SynCom,D2,endosphere,Col-0,18
Syn-endo-Col-19,1118,127,346,9604,45,257,29,SynCom,D2,endosphere,Col-0,19
Syn-endo-Col-2,5329,3274,2701,13324,134,1227,19,SynCom,D2,endosphere,Col-0,2
Syn-endo-Col-20,2926,190,272,1611,257,467,10,SynCom,D2,endosphere,Col-0,20
Syn-endo-Col-3,3999,3187,2003,12451,100,1017,12,SynCom,D2,endosphere,Col-0,3
Syn-endo-Col-4,3148,1037,1524,2931,63,574,0,SynCom,D2,endosphere,Col-0,4
Syn-endo-Col-5,3867,179,2720,2429,52,1742,9,SynCom,D2,endosphere,Col-0,5
Syn-endo-Col-6,2195,174,671,4821,44,542,3,SynCom,D2,endosphere,Col-0,6
Syn-endo-Col-7,1371,124,209,7807,178,156,7,SynCom,D2,endosphere,Col-0,7
Syn-endo-Col-8,1712,759,416,3407,131,217,0,SynCom,D2,endosphere,Col-0,8
Syn-endo-Col-9,30537,318,3007,846,61,177,0,SynCom,D2,endosphere,Col-0,9
Syn-total-cad-1,19759,490,1561,98,808,943,3,SynCom,D2,total,cad1,1
Syn-total-cad-10,5392,31,708,5,404,659,0,SynCom,D2,total,cad1,10
Syn-total-cad-11,22770,158,1783,67,1514,2187,0,SynCom,D2,total,cad1,11
Syn-total-cad-12,36733,221,3243,87,3209,4679,1,SynCom,D2,total,cad1,12
Syn-total-cad-13,34750,340,2084,98,2298,2634,3,SynCom,D2,total,cad1,13
Syn-total-cad-14,19107,105,1422,33,2406,1908,0,SynCom,D2,total,cad1,14
Syn-total-cad-15,15383,247,2453,137,391,1863,11,SynCom,D2,total,cad1,15
Syn-total-cad-16,16564,325,2707,265,706,2957,0,SynCom,D2,total,cad1,16
Syn-total-cad-17,34573,308,5356,220,329,5973,2,SynCom,D2,total,cad1,17
Syn-total-cad-18,27591,222,3113,50,1826,4439,2,SynCom,D2,total,cad1,18
Syn-total-cad-19,13053,178,2671,84,230,3761,6,SynCom,D2,total,cad1,19
Syn-total-cad-2,11741,366,1806,177,1703,547,3,SynCom,D2,total,cad1,2
Syn-total-cad-20,23214,416,4770,711,1093,8415,0,SynCom,D2,total,cad1,20
Syn-total-cad-3,27041,142,2625,69,173,842,4,SynCom,D2,total,cad1,3
Syn-total-cad-4,34368,2111,2427,204,480,1113,0,SynCom,D2,total,cad1,4
Syn-total-cad-5,24906,357,3299,354,639,1082,0,SynCom,D2,total,cad1,5
Syn-total-cad-6,27945,298,3074,271,2772,3351,9,SynCom,D2,total,cad1,6
Syn-total-cad-7,25709,256,2263,164,2628,2522,0,SynCom,D2,total,cad1,7
Syn-total-cad-8,14362,396,3033,617,1046,4007,0,SynCom,D2,total,cad1,8
Syn-total-cad-9,18684,190,1456,29,499,1316,5,SynCom,D2,total,cad1,9
Syn-total-Col-1,15480,257,5866,698,1251,2965,4,SynCom,D2,total,Col-0,1
Syn-total-Col-10,27209,330,4236,339,1065,2005,14,SynCom,D2,total,Col-0,10
Syn-total-Col-11,15897,160,2809,529,1605,2414,16,SynCom,D2,total,Col-0,11
Syn-total-Col-12,22677,145,3258,547,1145,3837,0,SynCom,D2,total,Col-0,12
Syn-total-Col-13,11947,149,3750,320,448,477,7,SynCom,D2,total,Col-0,13
Syn-total-Col-14,14045,212,4195,575,804,2634,3,SynCom,D2,total,Col-0,14
Syn-total-Col-15,12658,54,4013,151,609,2560,0,SynCom,D2,total,Col-0,15
Syn-total-Col-16,23318,282,4800,3517,931,3508,4,SynCom,D2,total,Col-0,16
Syn-total-Col-17,17843,258,5273,4500,3010,3000,15,SynCom,D2,total,Col-0,17
Syn-total-Col-18,21205,305,7053,3009,992,4638,7,SynCom,D2,total,Col-0,18
Syn-total-Col-19,22480,188,6089,1440,1430,4982,3,SynCom,D2,total,Col-0,19
Syn-total-Col-2,24677,204,6228,718,3446,2571,7,SynCom,D2,total,Col-0,2
Syn-total-Col-20,27800,291,4368,813,909,8918,19,SynCom,D2,total,Col-0,20
Syn-total-Col-3,15493,324,6303,172,893,2733,0,SynCom,D2,total,Col-0,3
Syn-total-Col-4,21341,307,4919,800,425,3844,1,SynCom,D2,total,Col-0,4
Syn-total-Col-5,12017,103,3724,233,363,1946,3,SynCom,D2,total,Col-0,5
Syn-total-Col-6,11567,94,3273,255,419,2037,3,SynCom,D2,total,Col-0,6
Syn-total-Col-7,18501,148,2841,717,1362,3485,2,SynCom,D2,total,Col-0,7
Syn-total-Col-8,28819,175,5799,345,811,5189,3,SynCom,D2,total,Col-0,8
Syn-total-Col-9,19427,315,5290,293,246,4481,0,SynCom,D2,total,Col-0,9
