sample_id,input_com,day,compartment,genotype,input_com_day_compartment,input_com_day_compartment_genotype,replicate
Regular_endo_cad_9,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,9
Regular_endo_cad_10,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,10
Regular_endo_cad_11,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,11
Regular_endo_cad_12,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,12
Regular_endo_cad_13,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,13
Regular_endo_cad_14,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,14
Regular_endo_cad_15,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,15
Regular_endo_cad_16,AtMix,D5,endosphere,cad1,AtMix_D5_endosphere,AtMix_D5_endosphere_cad1,16
Syn_total_Col_1,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,1
Syn_total_Col_2,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,2
Syn_total_Col_3,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,3
Syn_total_Col_4,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,4
Syn_total_Col_5,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,5
Syn_total_Col_6,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,6
Syn_total_Col_7,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,7
Syn_total_Col_8,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,8
Syn_total_Col_9,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,9
Syn_total_Col_10,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,10
Syn_total_Col_11,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,11
Syn_total_Col_12,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,12
Syn_total_Col_13,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,13
Syn_total_Col_14,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,14
Syn_total_Col_15,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,15
Syn_total_Col_16,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,16
Syn_total_Col_17,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,17
Syn_total_Col_18,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,18
Syn_total_Col_19,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,19
Syn_total_Col_20,SynCom,D2,total,Col0,SynCom_D2_total,SynCom_D2_total_Col-0,20
Syn_total_cad_1,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,1
Syn_total_cad_2,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,2
Syn_total_cad_3,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,3
Syn_total_cad_4,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,4
Syn_total_cad_5,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,5
Syn_total_cad_6,SynCom,D2,total,cad1,SynCom_D2_total,SynCom_D2_total_cad1,6
